brand,model,year,flex,shape,price,available_lengths,ground_tricks,park,carving,run_tricks,powder,image_url,url
SIMS,AURUM EDITION,2025,5,double_camber,75900,149 / 151 / 153 / 155,6,7,5,7,4,,https://simsnow.jp/products/26-aurum-edition
SIMS,DISTORTION,2025,5,hybrid_camber,83600,149 / 152 / 155 / 158 / 161,5,7,6,8,5,,https://simsnow.jp/products/26-distortion
SIMS,ATV,2025,5,hybrid_camber,85800,139 / 143 / 147 / 150 / 152 / 155 / 158,4,5,8,7,6,,https://simsnow.jp/products/26-atv
SIMS,UAP,2025,6,camber,86900,150 / 153 / 156 / 159 / 162,4,5,7,8,6,,https://simsnow.jp/products/26-uap
SIMS,NUB,2025,3,flat,86900,145 / 148 / 151 / 153 / 156 / 158 / 161,4,6,6,8,7,,https://simsnow.jp/products/26-nub
SIMS,MACRODOSE,2025,7,rocker,97900,146 / 150 / 154 / 158 / 162,2,3,5,7,10,,https://simsnow.jp/products/macrodose-%E3%82%B3%E3%83%94%E3%83%BC
SIMS,FAKIE,2025,7,camber,101200,153 / 157 / 161 / 164,3,3,7,7,9,,https://simsnow.jp/products/26-fakie
SIMS,ATVX,2025,7,hybrid_camber,132000,153 / 158 / 163,2,2,6,7,10,,https://simsnow.jp/products/26-atvx
SALOMON,Wonder,2025,5,hybrid_camber,81400,140 / 144 / 148 / 152 / 155,5,5,7,6,5,,https://salomon.jp/products/wonder-l476649
SALOMON,Bliss,2025,3,hybrid_camber,63800,138 / 141 / 144 / 148 / 151 / 155,3,3,5,4,7,,https://salomon.jp/products/bliss-l473505
K2,Extravision,2025,5,hybrid_camber,80300,139 / 142 / 145 / 147 / 149 / 152,4,4,7,6,5,,https://k2snow.com/en-us/p/extravision-womens-snowboard-2526
BC STREAM,SOLEIL,2025,3,camber,65780,136 / 139 / 142 / 145,5,5,6,5,5,,http://www.bc-stream.com/
DEATH LABEL,TRUST GIRLS×DAYZE,2025,4,camber,74800,138 / 142 / 145,7,8,6,6,3,,https://store.shopping.yahoo.co.jp/breakout/13-trust-g.html
GENTEMSTICK,BABY MANTARAY 148,2025,4,hybrid_camber,147400,148,3,3,6,6,9,,https://gentemstick.com/products/24-25-baby-mantaray-148
GENTEMSTICK,FLAIR,2025,4,hybrid_camber,137500,144,2,3,7,5,9,,https://gentemstick.com/products/24-25-flair
BURTON,Feelgood Camber,2025,6,camber,94600,142 / 146 / 149 / 152,4,5,8,7,5,,https://www.burton.com/jp/ja/p/womens-burton-feelgood-camber-snowboard/W25-106911.html
MOSS,FIFTY-FIFTY RIDER,2025,3,double_camber,96800,143 / 147 / 150,9,8,4,7,3,,https://mosssnowboards.co.jp/
